route_id,source_lat,source_lon,dest_lat,dest_lon,distance_km,duration_min,num_turns,weather,temperature_C,time_of_day,day_of_week,label,traffic_density
"(30.7415, 76.7794)-(30.7221, 76.7417)-R1",76.7794000 ,30.7415000 ,76.7417000 ,30.7221000 ,4.690 ,7.9700000 ,79,Clouds,-11.18,10:03,Wednesday,1,51
"(30.7415, 76.7794)-(30.7221, 76.7417)-R2",76.7794000 ,30.7415000 ,76.7417000 ,30.7221000 ,6.460 ,10.1500000 ,105,Clouds,-11.18,10:03,Wednesday,0,92
"(30.7415, 76.7794)-(30.7221, 76.7417)-R3",76.7794000 ,30.7415000 ,76.7417000 ,30.7221000 ,6.490 ,10.2800000 ,107,Clouds,-11.18,10:03,Wednesday,0,14
"(30.7522, 76.8008)-(30.752, 76.81)-R1",76.8008000 ,30.7522000 ,76.8100000 ,30.7520000 ,1.430 ,2.6200000 ,18,Clouds,-11.25,10:03,Wednesday,1,71
"(30.7522, 76.8008)-(30.752, 76.81)-R2",76.8008000 ,30.7522000 ,76.8100000 ,30.7520000 ,1.820 ,2.9400000 ,25,Clouds,-11.25,10:03,Wednesday,0,60
"(30.7522, 76.8008)-(30.752, 76.81)-R3",76.8008000 ,30.7522000 ,76.8100000 ,30.7520000 ,1.600 ,2.9400000 ,18,Clouds,-11.25,10:03,Wednesday,0,20
"(30.7192, 76.7636)-(30.7035, 76.8024)-R1",76.7636000 ,30.7192000 ,76.8024000 ,30.7035000 ,6.750 ,8.9500000 ,100,Clouds,-11.12,10:03,Wednesday,1,82
"(30.7192, 76.7636)-(30.7035, 76.8024)-R2",76.7636000 ,30.7192000 ,76.8024000 ,30.7035000 ,5.850 ,9.8500000 ,102,Clouds,-11.12,10:03,Wednesday,0,86
"(30.7192, 76.7636)-(30.7035, 76.8024)-R3",76.7636000 ,30.7192000 ,76.8024000 ,30.7035000 ,5.980 ,9.9500000 ,96,Clouds,-11.12,10:03,Wednesday,0,74
"(30.712, 76.7735)-(30.7343, 76.7795)-R1",76.7735000 ,30.7120000 ,76.7795000 ,30.7343000 ,5.310 ,8.5900000 ,96,Clouds,-11.15,10:03,Wednesday,1,74
"(30.712, 76.7735)-(30.7343, 76.7795)-R2",76.7735000 ,30.7120000 ,76.7795000 ,30.7343000 ,5.370 ,9.1400000 ,109,Clouds,-11.15,10:03,Wednesday,0,87
