route_id,source_lat,source_lon,dest_lat,dest_lon,distance_km,duration_min,num_turns,weather,temperature_C,time_of_day,day_of_week,label,traffic_density
"(30.7415, 76.7794)-(30.7221, 76.7417)-R1",76.7794,30.7415,76.7417,30.7221,4.69,7.97,79,Clouds,18.15,10:03,Wednesday,1,51
"(30.7415, 76.7794)-(30.7221, 76.7417)-R2",76.7794,30.7415,76.7417,30.7221,6.46,10.15,105,Clouds,28.55,10:03,Wednesday,0,92
"(30.7415, 76.7794)-(30.7221, 76.7417)-R3",76.7794,30.7415,76.7417,30.7221,6.49,10.28,107,Clouds,28.37,10:03,Wednesday,0,14
"(30.7522, 76.8008)-(30.752, 76.81)-R1",76.8008,30.7522,76.81,30.752,1.43,2.62,18,Clouds,34.15,10:03,Wednesday,1,71
"(30.7522, 76.8008)-(30.752, 76.81)-R2",76.8008,30.7522,76.81,30.752,1.82,2.94,25,Clouds,24.9,10:03,Wednesday,0,60
"(30.7522, 76.8008)-(30.752, 76.81)-R3",76.8008,30.7522,76.81,30.752,1.6,2.94,18,Clouds,31.42,10:03,Wednesday,0,20
"(30.7192, 76.7636)-(30.7035, 76.8024)-R1",76.7636,30.7192,76.8024,30.7035,6.75,8.95,100,Clouds,24.77,10:03,Wednesday,1,82
"(30.7192, 76.7636)-(30.7035, 76.8024)-R2",76.7636,30.7192,76.8024,30.7035,5.85,9.85,102,Clouds,28.62,10:03,Wednesday,0,86
"(30.7192, 76.7636)-(30.7035, 76.8024)-R3",76.7636,30.7192,76.8024,30.7035,5.98,9.95,96,Clouds,29.9,10:03,Wednesday,0,74
"(30.712, 76.7735)-(30.7343, 76.7795)-R1",76.7735,30.712,76.7795,30.7343,5.31,8.59,96,Clouds,33.64,10:03,Wednesday,1,74
"(30.712, 76.7735)-(30.7343, 76.7795)-R2",76.7735,30.712,76.7795,30.7343,5.37,9.14,109,Clouds,29.41,10:03,Wednesday,0,87
"(30.712, 76.7735)-(30.7343, 76.7795)-R3",76.7735,30.712,76.7795,30.7343,5.36,9.15,109,Clouds,26.6,10:03,Wednesday,0,99
"(30.71832, 76.712983)-(30.772334, 76.76188)-R1",76.712983,30.71832,76.76188,30.772334,4.36,8.37,39,Fog,28.75,15:45,Tuesday,1,23
"(30.694129, 76.816306)-(30.760318, 76.73835)-R2",76.816306,30.694129,76.73835,30.760318,7.03,13.67,34,Rain,32.41,12:30,Wednesday,0,2
"(30.726434, 76.717235)-(30.673473, 76.744651)-R3",76.717235,30.726434,76.744651,30.673473,6.89,13.12,26,Clear,26.22,21:10,Tuesday,0,21
"(30.713901, 76.825865)-(30.735771, 76.798305)-R4",76.825865,30.713901,76.798305,30.735771,3.71,6.95,89,Clouds,29.54,15:45,Thursday,0,52
"(30.767607, 76.730384)-(30.771493, 76.701442)-R5",76.730384,30.767607,76.701442,30.771493,7.01,13.93,69,Clouds,34.68,18:20,Friday,0,1
"(30.744054, 76.804369)-(30.769738, 76.768865)-R6",76.804369,30.744054,76.768865,30.769738,7.44,11.94,94,Rain,26.61,18:20,Thursday,0,87
"(30.697881, 76.755248)-(30.679914, 76.798321)-R7",76.755248,30.697881,76.798321,30.679914,7.12,12.89,39,Clouds,27.5,12:30,Thursday,0,29
"(30.720409, 76.838102)-(30.760962, 76.750817)-R8",76.838102,30.720409,76.750817,30.760962,5.09,10.04,108,Rain,23.91,12:30,Friday,0,37
"(30.719871, 76.721572)-(30.765601, 76.81506)-R9",76.721572,30.719871,76.81506,30.765601,7.05,10.92,81,Rain,20.15,21:10,Thursday,0,1
